id,name,full_name,name_netcdf,description,format,unit_id,bound_lower,bound_upper,display_order
1,14C-DOC,"Dissolved Organic Carbon 14",dissolved_organic_carbon_14,"14C activity of Dissolved Organic Carbon",%8.1f,1,-1000,100,9223372036854775807
2,17DELTA,"",17delta,"Triple oxygen isotope",%11s,2,,,9223372036854775807
3,ALKALI,"Total alkalinity",alkalinity,"",%8.1f,3,100,2800,28
4,ALUMIN,"Dissolved Aluminum",dissolved_aluminum,Aluminum,%8.1f,4,0.3,25,59
5,AOU,"Apparent Oxygen Utilization",apparent_oxygen_utilization,"",%11s,,,,9223372036854775807
6,AR-39,"Argon 39",argon_39,"",%8.1f,5,0,100,70
7,ARABI,Arabinose,arabinose,"Concentration of Arabanose after hydrolysis",%11s,6,,,9223372036854775807
8,ARGON,Argon,argon,"",%8.2f,3,5,25,103
9,AZOTE,Nitrogen,nitrogen,"Nitrogen     (French)",%11s,,,,101
10,BACT,"Bacterial Cell Count",bacterial_cell_count,"Cell count of non pigmented heterotrophic bacterioplankton through FCM",%8.2f,7,,,9223372036854775807
11,BARIUM,Barium,barium1,"",%8.1f,6,,,60
12,BARIUML,Barium,barium,Barium,%11s,4,,,9223372036854775807
13,BEDFORT,"",bedfort,"",%8.4f,,,,9223372036854775807
14,BIONBR,"",bionbr,"",%11s,,,,5
15,BLACKC,"Black Carbon",black_carbon,"",%11s,,,,9223372036854775807
16,BNLID,"Bottle Number I.D.",bottle_number_i_d_,"Sequentially increasing number assigned to each tripped bottle throughout the cruise.",%11s,,,,9223372036854775807
17,BRDU,Bromodeoxyuridine,bromodeoxyuridine,"Bacterial Production via BRDU Method",%8.2f,8,,,9223372036854775807
18,BTLNBR,"Bottle Number",bottle_number,"",%11s,,,,6
19,BTL_DATE,"Bottle Date",bottle_date,"",%9.4f,,,,106
20,BTL_LAT,"Bottle Latitude",bottle_latitude,"",%9.4f,,,,108
21,BTL_LON,"Bottle Longitude",bottle_longitude,"",%9.4f,,,,109
22,BTL_TIME,"Bottle Time",bottle_time,"",%9.4f,,,,107
23,C13ERR,"DELC13 Error",delc13_error,"",%8.1f,1,,,44
24,C14ERR,"DELC14 Error",delc14_error,"",%8.1f,1,,,46
25,CALCIUM,Calcium,calcium,"",%11s,,,,102
26,CASTNO,"Cast Number",cast_number,"",%11s,,,,3
27,CCL4,"Carbon tetrachloride",carbon_tetrachloride1,"",%8.3f,9,-0.1,20,56
28,CCL4ER,"",ccl4er,"",%11s,,,,57
29,CCL4L,"Carbon Tetrachloride",carbon_tetrachloride,"",%11s,10,,,9223372036854775807
30,CDOM,"Chromophoric Dissolved Organic Matter",chromophoric_dissolved_organic_matter,"",%9.4f,,,,9223372036854775807
31,CDOM2C,"",cdom2c,"",%11s,,,,9223372036854775807
32,CDOM325,"",cdom325,"Absorption coefficient of CDOM at 325 nm",%9.4f,11,0.02,1,9223372036854775807
